연관키워드,월간검색수(PC),월간검색수(모바일),월평균클릭수(PC),월평균클릭수(모바일),월평균클릭률(PC),월평균클릭률(모바일),경쟁정도,월평균노출 광고수
핑크화분,< 10,90,0.3,0.6,4.77%,0.68%,높음,3
물망초씨앗,< 10,90,0,0.5,-,0.59%,높음,3
텃밭채소,20,70,0.3,0,1.97%,-,높음,3
조경용고형비료,50,40,0.6,1.5,1.12%,4.17%,높음,8
세척마사토소립,10,80,0,0.6,-,0.91%,높음,3
나무비료,20,70,0.3,1.3,0.87%,2.2%,높음,8
굵은모래,20,70,0.4,1,1.64%,1.39%,높음,8
피트모스250L,20,70,0.3,0.5,1.52%,0.77%,높음,3
땅심토,40,50,0,0,-,-,높음,3
높은화분,10,80,0.1,0.8,0.97%,0.91%,높음,8
수경재배비료,20,70,0.5,0.8,1.95%,1.08%,높음,8
가로화분,30,60,0.1,1.3,0.37%,2.09%,높음,8
안시리움화분,20,70,0,1.3,-,1.74%,높음,8
경주화분,20,70,1.3,1.8,4.82%,2.7%,높음,10
고추영양제,10,80,0,3.5,-,4.61%,높음,8
식물성장촉진제,10,80,0.6,4.3,4%,5.67%,높음,10
황토포장,70,20,3.6,2,4.74%,8%,높음,10
비건비타민,20,70,0.5,1.8,2%,2.44%,높음,8
리키다스,20,70,0,0.3,-,0.5%,높음,3
텃밭모종,20,70,0.7,4,3.81%,5.72%,중간,6
진딧물약,10,80,0,4.3,-,4.89%,높음,8
유기가리,10,80,0.5,4.5,3.2%,5.12%,높음,8
설향딸기모종,20,70,0,0,-,-,높음,3
운동장소금,60,30,2.8,2.5,4.44%,6.95%,높음,8
마사토운동장,40,50,0.1,0.3,0.32%,0.45%,높음,7
계분비료,20,70,0.6,2.3,2.78%,3.49%,중간,5
흙길,20,70,0,0,-,-,낮음,0
친모래,40,50,0.1,1.8,0.26%,3.25%,높음,10
상사화구근,10,80,0.6,1.3,5.32%,1.69%,높음,8
하얀모래,20,70,0.4,2,1.63%,2.69%,중간,6
추식구근,30,60,1.1,2.5,3.22%,3.63%,높음,8
개비온석,50,40,1.7,3.3,3.04%,7.56%,높음,10
은방울꽃구근,10,80,0.2,4.5,2.54%,5.49%,높음,9
수목이식,60,30,0.1,0,0.23%,-,높음,7
바이오월,40,50,1.8,7.5,3.96%,13.4%,높음,10
조경울타리,30,60,1.3,0.8,3.79%,1.21%,높음,8
배추씨,10,80,0.1,1.8,0.91%,2.25%,높음,8
나무화분받침대,10,80,0.1,3.3,1.05%,4.46%,높음,8
울타리화분,20,70,0.4,2.8,1.88%,4.11%,높음,8
화분도자기,10,80,0.1,1.5,0.84%,1.88%,높음,8
고압물분사기,20,70,0.3,1.3,1.05%,1.9%,높음,8
행잉식물화분,10,80,0.3,0.8,1.57%,1.18%,높음,8
행잉와이어,40,50,1.1,1,2.55%,1.89%,높음,7
슬림콘솔수납장,10,80,0.3,0.5,3.04%,0.59%,높음,3
로메인씨앗,10,80,0.3,0.3,3.04%,0.31%,높음,3
슈퍼도라지씨앗,20,70,0.2,3.5,0.86%,5.65%,중간,6
도라지씨,10,80,0.5,3.5,4.55%,4.87%,높음,8
다유들깨씨앗,20,70,1.5,6.8,6.87%,9.65%,중간,5
분재용화분,20,70,0.8,2.5,4.71%,3.68%,높음,10
고압농약분무기,10,80,0.8,2.8,7.5%,3.53%,높음,8
희귀식물씨앗,10,80,0.4,6.8,3.62%,8.9%,높음,7
멜론씨앗,20,70,1.5,2.8,6.53%,4.3%,높음,8
앤틱화분,< 10,80,0,2.1,-,2.79%,높음,7
돈나무가격,< 10,80,0,4,-,4.88%,높음,8
유기농멀티비타민,< 10,80,0.1,4.3,1.25%,4.68%,높음,8
로메인상추모종,< 10,80,0.3,3,3.93%,3.95%,중간,7
거실화분다이,< 10,80,0.1,4,2.5%,6.25%,높음,8
철재화분다이,< 10,80,0.3,6,30%,7.5%,높음,10
화단흙,20,60,0.3,1.5,1.5%,2.95%,높음,10
분갈이흙추천,10,70,0.3,1.8,1.93%,2.31%,높음,8
흙구매,10,70,0.1,1.8,0.7%,2.54%,높음,8
분갈이배양토,10,70,0.6,1.8,5.21%,2.47%,높음,8
분변토,20,60,0,1.8,-,2.78%,높음,8
분갈이업체,10,70,0.7,2.5,4.81%,3.97%,중간,7
난분갈이흙,10,70,0,0.5,-,0.8%,높음,7
분재흙,20,60,0.3,5.3,1.2%,7.5%,높음,8
천연부엽토,30,50,0.6,2.3,1.9%,4.42%,높음,8
피트모스250,20,60,0.3,2.8,1.32%,5%,높음,7
육묘용상토,40,40,1,0,2.5%,-,높음,3
유기농퇴비,20,60,0.5,1.8,2.5%,3.13%,높음,8
화분제작,40,40,1,2.3,2.5%,4.6%,높음,7
식물테라피,30,50,0,1,-,1.79%,높음,3
조경화분,30,50,2,5,5.41%,9.26%,높음,8
카라화분,10,70,0,1.1,-,1.69%,중간,6
고무나무가격,10,70,0.3,3.3,2.28%,4.23%,높음,8
축개업화분,10,70,0.3,5.3,1.39%,7.96%,높음,8
승진꽃화분,20,60,0.6,3.5,3.13%,5.15%,높음,8
텃밭비료,30,50,0.1,0.8,0.38%,1.48%,높음,8
야라밀라,20,60,0,0,-,-,높음,3
식물뿌리발근제,10,70,0.3,3.8,2.11%,5.44%,높음,8
텃밭퇴비,10,70,0.4,1.3,2.5%,2.05%,높음,8
땅벌레뚝,10,70,0.7,4.7,3.71%,6.98%,중간,4
마늘전용비료,10,70,0.8,3.8,5.76%,6.25%,높음,10
딸기비료,10,70,0.5,1.5,2.95%,2.21%,높음,8
시금치모종,20,60,0.4,1.3,1.82%,2.09%,중간,5
토양소독제,20,60,0.5,1.8,2.18%,3.19%,높음,8
삼화유박,20,60,0.7,0.3,3.51%,0.48%,높음,3
주차장자갈,20,60,0.2,1.5,0.75%,2.21%,높음,10
흙파는곳,10,70,0.2,2.8,1.06%,4.37%,높음,10
규사포장,50,30,1.4,0.5,3.01%,1.52%,높음,7
자갈구매,20,60,1.9,4,7.5%,7.55%,높음,8
황토분말,30,50,0.3,4,0.99%,7.41%,높음,7
강자갈가격,20,60,0.3,4.5,1.69%,9.38%,높음,7
순창두릅,10,70,0,3.2,-,4.5%,중간,3
원종튤립구근,10,70,0.3,6,2.2%,8.34%,높음,7
구근꽃,10,70,0,1.8,-,2.54%,높음,8
모래단가,60,20,2.5,2.5,4.17%,10.87%,높음,10
NAAVA,10,70,1.2,7.3,9.81%,11.12%,중간,4
야채씨앗,10,70,0.3,3.3,2.54%,5%,높음,8
충전전정가위,20,60,0.7,3.8,3.05%,8.53%,높음,10
고양이장식,10,70,0,0.3,-,0.46%,높음,3
유채꽃씨,10,70,0.1,3,0.74%,4.77%,높음,8
옥상화분,20,60,0.9,5.3,3.81%,9.22%,높음,8
살분무기,50,30,0.7,0,1.34%,-,높음,3
이동식화분선반,10,70,0,0,-,-,높음,3
천일홍씨앗,10,70,0,0,-,-,높음,3
구절초씨앗,20,60,0.4,2,1.64%,4%,높음,8
아파트현관꾸미기,10,70,0.1,2.5,0.85%,3.68%,높음,7
봉선화씨앗,20,60,0,1,-,1.82%,높음,8
백도라지씨앗,10,70,0.5,2.8,4.35%,4.11%,중간,6
대형텃밭화분,10,70,0.6,2.8,4.81%,5.1%,높음,8
대형화분도매,10,70,0.4,2.8,3.08%,4.51%,높음,10
루피너스씨앗,10,70,0.3,0,3.34%,-,높음,3
콩종자,20,60,0.4,1.5,1.79%,2.68%,중간,7
결명자씨앗,10,70,0.3,3.5,2.36%,4.87%,중간,6
제라늄상토,< 10,70,0,0.3,-,0.43%,높음,3
유박거름,< 10,70,0,1,-,1.73%,중간,7
스위트피키우기,< 10,70,0,0,-,-,중간,2
크로바씨앗,< 10,70,0,3.5,-,5.5%,중간,7
예쁜콘솔,< 10,70,0.1,4,1%,5.56%,높음,10
다육이받침대,< 10,70,0.3,4.5,5%,6.62%,높음,8
서랍형콘솔,< 10,70,0,2.3,-,2.93%,높음,8
수입콘솔,< 10,70,0.2,7.5,3.34%,10.72%,높음,10
금화규씨앗,< 10,70,0,0,-,-,중간,5
모닝글로리씨앗,< 10,70,0,0,-,-,높음,3
농업자재,20,50,0.4,1.8,1.43%,3.65%,높음,10
관엽식물흙,10,60,0.1,1,1.3%,1.89%,높음,7
배양토가격,10,60,0.3,5,2.86%,8.34%,높음,8
혼합토,30,40,0.1,0,0.37%,-,높음,8
모종흙,10,60,0.3,1.8,1.69%,2.92%,높음,8
조경토,50,20,0.6,0.3,1.16%,1.05%,높음,10
출장화분갈이,10,60,1.1,2,11.43%,3.23%,높음,7
다육분갈이흙,10,60,0,4,-,7.02%,높음,8
농업용품,30,40,1,1.5,3.34%,3.49%,높음,10
자갈바닥,20,50,0.1,3.3,0.5%,5.71%,높음,10
밭흙,20,50,0.6,1.5,3.25%,3.13%,중간,8
클라스만데일만,10,60,0,0,-,-,중간,2
황산칼슘비료,20,50,1.7,0.3,5.75%,0.48%,높음,3
흙공,20,50,0.4,0.6,1.59%,1.07%,높음,7
인공토양,30,40,0.2,2.5,0.67%,6.76%,높음,10
라지패치,50,20,0,0,-,-,중간,2
걸이형화분,10,60,0,0.5,-,0.85%,높음,3
화분브랜드,20,50,0,0,-,-,높음,3
알로카시아화분,10,60,0.5,0.8,4.55%,1.18%,높음,8
가드닝화분,10,60,0,1,-,1.64%,높음,8
인테리어용화분,10,60,0,0,-,-,중간,4
안산화분,10,60,1.2,2.8,9.24%,4.18%,높음,10
고수화분,10,60,0,0,-,-,높음,3
야생화화분,10,60,0,1.3,-,1.87%,높음,8
제주도화분,20,50,1.3,1.4,6.2%,3.04%,높음,10
물구멍없는화분,10,60,0.1,1.5,0.72%,2.42%,높음,10
책상용화분,20,50,0.1,2.5,0.65%,4.32%,높음,7
화분이동,20,50,0,1.5,-,2.84%,높음,8
책상위화분,10,60,0.5,2.3,2.64%,4.1%,높음,8
여수화분배달,20,50,1.1,7.8,5.5%,15.92%,높음,10
4종복비,30,40,0.3,0.3,1.02%,0.77%,높음,3
수용성규산,10,60,0.3,2.5,1.66%,4.91%,중간,7
토양분석,40,30,1.4,1.8,3.26%,5.89%,높음,10
식물성비타민,10,60,0,2.5,-,4.04%,높음,10
엔비올트리플,20,50,0,0.7,-,1.37%,높음,3
고추역병,30,40,0,0,-,-,높음,3
유기농농약,10,60,0.1,0,0.8%,-,높음,7
장미상토,10,60,0.1,1,0.94%,1.82%,높음,8
딸기묘종,10,60,1.4,0,11.54%,-,중간,2
참외모종,10,60,0.9,1.9,7.15%,3.28%,낮음,2
수국삽목,10,60,0.7,0,4.21%,-,높음,7
제1인산가리,10,60,0.7,3.8,3.79%,6.05%,중간,7
달팽이약,10,60,0.5,1.5,3.49%,2.68%,중간,6
수용성칼슘,10,60,0.1,2.3,0.79%,3.88%,높음,8
코르크가루,20,50,0.7,3.3,2.34%,6.05%,중간,6
겹물망초,20,50,0,0.5,-,0.9%,중간,2
석분가격,10,60,0.3,5,1.6%,8.07%,높음,10
깬잡석,60,10,1.9,1.3,3.21%,9.26%,높음,7
조경용자갈,20,50,1.2,3.5,5.72%,7.15%,높음,10
강화석,20,50,0,1.3,-,2.52%,높음,3
경화토포장,60,10,3.9,0.3,6.14%,1.79%,높음,9
모래구입,30,40,0.4,1.5,1.34%,3.13%,높음,10
고추클립,10,60,0.3,1.5,2.07%,2.5%,중간,6
꽃구근,10,60,1.1,1.8,8.04%,3.25%,높음,8
제설모래,20,50,0.1,0.5,0.35%,0.87%,높음,10
게비온석,40,30,1.8,3.5,4.1%,9.73%,높음,10
미장레미탈,30,40,0,0.3,-,0.96%,높음,3
야자로프,30,40,1.6,3,5.4%,8.11%,높음,7
철제화분정리대,10,60,0.1,1.8,1.25%,3.02%,높음,8
원예용분무기,10,60,0,1.3,-,1.99%,높음,8
행잉플랜트걸이,10,60,0.3,0,3.04%,-,높음,3
수레국화씨앗,10,60,0.3,2.8,1.67%,5.19%,높음,8
채송화씨앗,10,60,0.1,1,0.9%,2.13%,높음,8
나무공간박스,20,50,0.3,0,1.29%,-,높음,3
곤드레재배,10,60,1.7,0,16.67%,-,높음,3
아티초크씨앗,10,60,0,0.5,-,0.87%,높음,3
타임씨앗,10,60,0,0,-,-,높음,3
농업용고압분무기,10,60,0.1,3.3,1%,5.81%,높음,10
양상추씨앗,10,60,0,3,-,4.73%,중간,6
자운영씨앗,10,60,0.2,1.8,1.82%,3.08%,높음,10
북유럽책상,10,60,0,2.8,-,4.51%,높음,8
묘목화분,10,60,0.4,2.8,4.09%,4.67%,높음,10
메밀종자,30,40,0.1,0,0.46%,-,높음,7
대덕분무기,10,60,0.7,0.3,3.51%,0.52%,높음,3
농약동력분무기,10,60,0.5,3,3.37%,5%,높음,8
계양분무기,20,50,0.6,2,2.24%,3.58%,높음,8
화초흙,< 10,60,0.4,2.8,4.45%,4.71%,중간,6
배란다화분걸이,< 10,60,0,1.9,-,3.19%,높음,7
펄라이트대립,< 10,60,0.1,1.5,1.41%,2.78%,높음,8
녹보수가격,< 10,60,0,2.5,-,4.32%,높음,8
만천홍화분,< 10,60,0.4,1,4.69%,1.62%,높음,8
천연영양제,< 10,60,0.1,0.5,1.39%,0.87%,높음,8
나무뿌리발근제,< 10,60,0.5,3.5,12.5%,5.65%,높음,8
능개승마모종,< 10,60,0,3.9,-,7.05%,중간,3
고추탄저병약,< 10,60,0,4.8,-,8.8%,높음,8
부산모래,< 10,60,0,0,-,-,낮음,0
바퀴달린화분받침대,< 10,60,0.1,3,1.82%,5%,높음,8
직사각화분받침,< 10,60,0.1,1.3,1.79%,2.2%,높음,8
중고농약분무기,< 10,60,0.7,6.5,7.8%,10.49%,높음,9
농약치는기계,< 10,60,0.3,5,3.34%,8.2%,높음,10
무우씨앗,< 10,60,0.1,1.5,4.17%,2.31%,높음,8
화초선반,< 10,60,0.1,5,3.13%,7.94%,높음,8
춘란화분,< 10,60,0.1,0.8,1.59%,1.47%,높음,7
모던콘솔,< 10,60,0,2.3,-,3.58%,높음,7
거실화분거치대,< 10,60,0.2,1.9,2.71%,2.95%,중간,5
페츄니아씨앗,< 10,60,0,0.8,-,1.34%,높음,3
접시꽃씨앗,< 10,60,0.1,2.4,1.79%,4.15%,높음,7
동력농약살포기,< 10,60,0.3,2.3,3.58%,4.33%,높음,8
냉이파종,< 10,60,0,0,-,-,높음,3
국화씨앗,< 10,60,0.8,1.3,18.75%,2.46%,높음,8
벽난로장식,< 10,60,0,2.3,-,3.52%,높음,10
한아름원예용상토,10,50,0.8,0.3,5.67%,0.56%,중간,4
흙판매,20,40,0.4,4.5,2.23%,9.58%,높음,10
퇴비종류,10,50,0,1,-,2.23%,높음,3
배양토추천,10,50,0.9,2.5,6.25%,4.72%,높음,8
원예비료,10,50,0,0.3,-,0.61%,높음,8
원예흙,10,50,0.3,1.8,2.09%,3.98%,높음,8
장식용화분,10,50,0,0.3,-,0.54%,높음,3
다육흙,10,50,0,2.8,-,5.86%,높음,8
대구분갈이,10,50,0,0,-,-,낮음,0
다육이농원,10,50,0.7,0.3,4.77%,0.6%,높음,3
배수잘되는흙,10,50,0.4,0.9,4.35%,1.64%,중간,2
단독주택조경,30,30,1.7,4.3,5.67%,13.29%,높음,10
늘푸른연구소,10,50,0,3,-,20%,낮음,0
아파트화분,10,50,0.1,1.3,0.74%,2.5%,높음,8
집안화분,10,50,0.5,0,3.71%,-,중간,4
삽목용상토,10,50,0.3,1.5,1.93%,2.84%,높음,8
화분박스,10,50,0.9,2.3,5.84%,4.33%,높음,8
분갈이용화분,10,50,0,1.3,-,2.73%,높음,3
스프링화분,10,50,0,0,-,-,높음,3
화분택배,10,50,0.3,1.8,2.31%,3.13%,높음,10
공장개업선물,20,40,0,0.3,-,0.6%,높음,10
창업축하문구,20,40,0,0,-,-,높음,3
취임축하화분문구,40,20,0,0,-,-,높음,3
개업식화분추천,10,50,0.4,2.3,3.13%,3.88%,높음,8
관엽식물화분,10,50,0,1,-,1.93%,높음,8
화분선물추천,10,50,0.1,3.3,0.96%,6.25%,높음,7
비료구매,10,50,0.6,0.3,4%,0.45%,높음,10
이화학분석,30,30,0,0,-,-,높음,3
뿌리영양제,10,50,0.3,1.8,1.91%,4.3%,높음,7
다이소제충국,10,50,0,0,-,-,중간,2
토양관주,20,40,0,0,-,-,높음,3
황산고토비료,10,50,0.4,2.8,3.9%,4.67%,중간,7
트리코더마,20,40,1.9,0.6,8.48%,1.56%,높음,3
바닥자갈,10,50,0.1,2.5,0.74%,4.81%,높음,8
오색자갈,20,40,1.1,4.5,4.02%,10.72%,높음,8
산마늘종근,10,50,0.4,1,2.71%,2.52%,중간,5
자갈인테리어,10,50,0.1,0.8,0.77%,1.45%,높음,10
폐보도블럭,10,50,0,1.6,-,3.32%,중간,3
SIO3,20,40,0,0.3,-,0.8%,높음,3
콩자갈포장,50,10,3.3,0.5,6.32%,5%,높음,7
강화시멘트,20,40,0.3,1.5,1.25%,3.41%,높음,8
주먹돌,10,50,1.1,0.6,6.53%,1.25%,높음,3
생강모종,10,50,0.2,2,1.77%,4.77%,중간,8
구근판매,10,50,0.3,6,2.31%,13.05%,높음,10
원형화분받침,10,50,0,0.3,-,0.59%,높음,3
화분받침대사각,10,50,0,0.3,-,0.6%,높음,3
인테리어화분받침대,20,40,0,0,-,-,높음,8
제설용삽,20,40,0,0.3,-,0.7%,높음,3
텃밭농기구,10,50,0,2.4,-,5.3%,높음,7
벽식물인테리어,10,50,0.7,1.8,3.97%,3.19%,높음,7
원목화분대,10,50,1.1,2.3,11.25%,4.69%,높음,8
물분배기,10,50,0.1,0.8,0.85%,1.54%,높음,7
보리종자,10,50,0.1,2.3,0.8%,4.5%,높음,10
좁은콘솔,10,50,0.5,2.8,3.85%,5.73%,높음,8
블랙콘솔,10,50,0.4,2,3.45%,3.66%,높음,8
베고니아화분,10,50,0,0.5,-,1.13%,높음,3
더덕종자,10,50,0.3,4,2.09%,9.1%,높음,8
씀바귀씨앗,10,50,0.4,5,3.41%,9.44%,높음,8
실내조경인테리어,20,40,0.7,2,3.58%,5.56%,높음,7
제비꽃씨앗,10,50,0,0.8,-,1.54%,높음,3
바오밥씨앗,10,50,0.3,0.3,3.04%,0.42%,높음,3
4행정분무기,20,40,1.6,2.1,6.84%,6.07%,높음,7
농사의여신,20,40,0,0,-,-,중간,1
땅콩호박씨앗,10,50,0.4,3,3.41%,5.89%,높음,8
플라스틱화분도매,10,50,0.8,4,6.67%,8%,높음,10
상추기르기,< 10,50,0,1.5,-,2.8%,높음,7
큰화분분갈이,< 10,50,0.4,0.3,5.36%,0.48%,높음,7
마사토세척,< 10,50,0,0.3,-,0.52%,높음,7
모래흙,< 10,50,0.1,1.5,1.59%,3.13%,높음,7
다육판매,< 10,50,0,5.3,-,9.73%,중간,8
산세베리아흙,< 10,50,0.3,0.3,4.77%,0.53%,높음,3
커피나무영양제,< 10,50,0,0.9,-,1.52%,중간,2
타원형화분,< 10,50,0.4,0.3,6.13%,0.6%,높음,7
예쁜선인장,< 10,50,0,0.5,-,0.99%,높음,3
뱅갈고무나무가격,< 10,50,0.3,2.8,5%,5.19%,높음,8
중대형화분,< 10,50,0.1,0.3,2.05%,0.67%,높음,7
꽃화기,< 10,50,0,0.3,-,0.57%,높음,3
개업식화분배달,< 10,50,0,2.9,-,5.83%,높음,7
집들이나무,< 10,50,0.4,3,3.75%,5.89%,높음,8
율마가격,< 10,50,0,0.8,-,1.6%,낮음,0
개업화초,< 10,50,0,0.5,-,1.12%,높음,7
외목대율마,< 10,50,0,0,-,-,높음,3
유기농영양제,< 10,50,0,1.3,-,2.41%,높음,8
고추모종종류,< 10,50,1,0,50%,-,낮음,2
파쇄석구매,< 10,50,0.7,5.5,10.21%,11%,높음,7
펌리빙플랜트박스,< 10,50,0.5,1.5,5.77%,3.15%,중간,6
호접란포트,< 10,50,0,0.3,-,0.48%,높음,3
산삼씨,< 10,50,0.3,1.4,10%,3.34%,높음,7
방아모종,< 10,50,0.7,0,11.12%,-,높음,3
콜라비종자,< 10,50,0.2,2.3,4.35%,4.17%,중간,5
아바타상추,< 10,50,0.3,1,4.77%,2.28%,높음,3
패랭이꽃씨앗,< 10,50,0,2,-,5%,높음,8
풀분,< 10,50,0.2,1,3.04%,1.82%,높음,7
순무씨앗,< 10,50,0.2,3,6.9%,6.13%,높음,10
엄나무씨앗,< 10,50,0.3,4.5,4.09%,8.5%,중간,7
메밀씨,< 10,50,0.2,0.8,2%,1.86%,중간,6
삼채씨앗,< 10,50,0.3,1,5.18%,1.79%,높음,10
가정용분무기,< 10,50,0,1.8,-,3.73%,높음,7
성화상토,20,30,0,1.1,-,3.71%,중간,2
고무나무분갈이흙,10,40,0.7,0.5,5.13%,1.12%,높음,3
상토50L,30,20,0.6,0.3,1.79%,1.05%,높음,8
화분상토,10,40,0.1,2.8,0.79%,6.88%,높음,8
원예용흙,20,30,0,1,-,2.95%,높음,8
화분용흙,20,30,0.4,0,1.64%,-,높음,8
잔디플러스,20,30,0.7,0.3,3.18%,0.92%,높음,3
화분이사,10,40,0.3,1.5,2.5%,4.17%,높음,10
마사토대립,10,40,0.5,2,2.95%,4.88%,높음,8
농협비료가격,10,40,0.3,0.3,2.44%,0.91%,높음,3
신기토,10,40,0,0,-,-,높음,3
화분모래,20,30,0,2,-,5.89%,높음,8
사과비료,10,40,0.5,1,3.34%,2.95%,높음,8
프렉션피트,10,40,0,0,-,-,중간,2
보도블럭모래,30,20,0.3,0.3,0.93%,1.09%,높음,7
삽목용토,10,40,0.3,2.3,2.3%,5.6%,중간,7
토마토비료,10,40,0,2.3,-,5.12%,높음,8
미량원소비료,10,40,0,0.5,-,1.2%,중간,6
퇴비20KG,10,40,0,0,-,-,높음,3
실내인테리어화분,10,40,0.3,0.8,1.93%,1.83%,높음,8
떡갈고무나무화분,10,40,0.4,0,4.29%,-,높음,7
실외화분,10,40,0.8,0.8,6.82%,1.75%,높음,8
개업축하화분배달,10,40,0.7,3,4.67%,6.53%,높음,10
특이한집들이선물,10,40,0,1.3,-,2.66%,높음,10
컬러벤자민,10,40,0,0,-,-,높음,3
사계란,10,40,0,1,-,6.25%,중간,1
사무실화분선물,10,40,0.7,1.3,3.89%,2.5%,높음,10
행잉플랜트화분,10,40,0,0.3,-,0.73%,높음,3
대형개업화분,10,40,0.4,1,2.68%,2.78%,높음,7
골분비료,10,40,1,1.7,6.82%,3.76%,중간,3
성분검사기관,10,40,0.8,1.6,7.25%,3.9%,중간,6
학교텃밭,30,20,0.1,0.3,0.48%,1.5%,높음,7
황금연꽃바나나,10,40,0.7,1.5,16.67%,3.71%,높음,3
굵은마사토,10,40,0.1,2.8,0.9%,7.06%,높음,8
주차장돌,10,40,0,0.8,-,2.15%,중간,7
혼합석,30,20,0.5,0.3,1.29%,0.97%,높음,10
쇄석자갈,40,10,1.7,1,3.65%,5.56%,높음,7
농약전착제,10,40,0.3,0.3,1.77%,0.56%,중간,6
잡석가격,20,30,1.1,0.8,4.42%,2.05%,중간,5
자갈판매,10,40,1,5.3,8.34%,12.5%,높음,10
마사모래,10,40,0.3,0,2.57%,-,높음,3
혼합골재가격,40,10,1.6,1.5,3.7%,9.38%,중간,8
숙근,10,40,0.1,0.5,0.85%,1.39%,중간,7
부산골재,20,30,2,0.7,10%,1.89%,높음,3
해미석자갈,10,40,1.3,2.5,9.19%,6.25%,높음,7
수족관자갈,10,40,0.7,2.8,6.37%,5.86%,높음,10
정원화분,10,40,0.8,2,6.25%,6.07%,높음,8
루프탑꾸미기,10,40,0.4,0.9,4.29%,2.35%,높음,7
마늘씨앗,10,40,0,0.3,-,0.62%,중간,7
미니모종삽,10,40,0.3,0,2.57%,-,높음,3
식물물조리개,10,40,0.3,0,2.39%,-,높음,3
모터분무기,10,40,0.7,0.5,4.67%,1.17%,높음,10
포틱토분,10,40,0.3,2.2,3.71%,4.97%,높음,3
가구콘솔,10,40,0,0.9,-,2.19%,중간,4
두메부추씨앗,10,40,0.1,1.8,1.34%,3.81%,높음,9
꽃씨파는곳,20,30,1,3.8,5.27%,10.42%,높음,8
묘목심기,10,40,0,0.6,-,1.62%,높음,3
혼다분무기,20,30,0.9,0.8,5.36%,2.21%,높음,7
오성전동드릴,10,40,0,0.3,-,0.7%,높음,3
도라지종자,10,40,0.7,3.8,4.35%,10.72%,높음,8
질경이씨,10,40,0.3,1,3.78%,2.2%,높음,7
호랑이흙,< 10,40,0,0.7,-,1.73%,중간,1
베란다채소,< 10,40,0.3,0.3,3.71%,0.68%,높음,3
쌈배추씨앗,< 10,40,1.3,4,14.45%,8.52%,높음,10
산세베리아분갈이흙,< 10,40,0,0.3,-,0.49%,높음,3
원예용비료,< 10,40,0,1.5,-,3.66%,높음,8
분갈이출장,< 10,40,0,0.8,-,2.05%,중간,6
과수비료,< 10,40,0.5,1.5,8.34%,3.95%,높음,10
논비료,< 10,40,0.4,0,5.89%,-,중간,2
관엽식물비료,< 10,40,0,1.1,-,2.6%,중간,4
그로잉스펀지,< 10,40,0.7,0.3,22.23%,0.57%,높음,3
물비료,< 10,40,0.2,1.3,2.64%,3.68%,중간,6
전주분갈이,< 10,40,0,0,-,-,중간,1
단지화분,< 10,40,0,0.3,-,0.69%,중간,4
큰선인장,< 10,40,0.3,0,4.77%,-,높음,3
인테리어선인장,< 10,40,0.3,0.3,5.56%,0.65%,높음,3
여인초가격,< 10,40,0,0.5,-,1.2%,높음,3
통영화분,< 10,40,0,2.5,-,5.44%,높음,8
화분공장,< 10,40,0,1,-,2.57%,높음,7
빈티지도자기화분,< 10,40,0.7,0.5,33.34%,1.2%,높음,3
포인세치아,< 10,40,0,0,-,-,높음,3
가게오픈꽃,< 10,40,0,1.8,-,3.13%,높음,7
대형율마,< 10,40,0,0,-,-,높음,3
실내용나무,< 10,40,0.1,0.3,2.05%,0.61%,높음,7
용산화분,< 10,40,0,0.8,-,1.57%,높음,8
오픈축하화분,< 10,40,0.1,2.3,2.5%,5.49%,높음,8
사각도자기화분,< 10,40,0.1,0.8,1.57%,2.15%,높음,8
다육영양제,< 10,40,0.1,2.9,7.15%,7.76%,높음,7
천연비타민추천,< 10,40,0,2,-,4.55%,높음,10
뿌리촉진제,< 10,40,0.1,0.8,1.39%,1.93%,높음,8
여주모종,< 10,40,0.3,1.8,4.17%,4.69%,중간,4
다육식물영양제,< 10,40,0,2.3,-,5.49%,높음,8
구근력,< 10,40,0,0.5,-,1.12%,낮음,0
겹접시꽃씨앗,< 10,40,0.7,0,11.12%,-,높음,3
곰보배추모종,< 10,40,0,2,-,4.45%,중간,7
엘레스탈,< 10,40,0,0,-,-,중간,1
왕모래,< 10,40,0.3,3.1,8.34%,8.87%,높음,3
작약숙근,< 10,40,1,0.3,20%,0.65%,높음,3
하얀자갈,< 10,40,0.3,1.5,2.5%,3.85%,높음,8
쌈채소모종,< 10,40,0,0.5,-,1.12%,중간,6
봄꽃구근,< 10,40,0.3,0.5,6.67%,1.17%,높음,3
과습방지화분받침,< 10,40,0,0,-,-,높음,3
화분진열장,< 10,40,0.8,1.3,8.89%,2.66%,높음,10
펌리빙테이블,< 10,40,2,0.8,33.34%,1.99%,높음,3
조개호미,< 10,40,0,0,-,-,높음,3
화분받이,< 10,40,0,0,-,-,높음,3
화분원목받침대,< 10,40,0,0.8,-,2.03%,중간,4
화분원목선반,< 10,40,0.3,0.3,6.67%,0.74%,높음,3
높은콘솔,< 10,40,0,0.3,-,0.63%,중간,4
까마중씨앗,< 10,40,0,0.5,-,1.25%,높음,3
우드공간박스,< 10,40,0,0.3,-,0.83%,높음,3
작은콘솔,< 10,40,0,2,-,4.45%,높음,10
봄꽃씨,< 10,40,0.5,5.3,6.25%,13.13%,높음,8
쑥갓씨앗,< 10,40,0.7,0,9.53%,-,높음,3
작약씨앗,< 10,40,0,2,-,4.45%,높음,9
